Quarter,New dwellings
01/01/93,72891
04/01/93,78570
07/01/93,84753
10/01/93,75041
01/01/94,72051
04/01/94,74820
07/01/94,73589
10/01/94,79488
01/01/95,93486
04/01/95,82148
07/01/95,80504
10/01/95,80039
01/01/96,85461
04/01/96,104996
07/01/96,94608
10/01/96,112188
01/01/97,138132
04/01/97,111361
07/01/97,111096
10/01/97,118644
01/01/98,117335
04/01/98,126423
07/01/98,126493
10/01/98,133165
01/01/99,144933
04/01/99,191846
07/01/99,185977
10/01/99,184626
01/01/00,169994
04/01/00,208673
07/01/00,203493
10/01/00,260376
01/01/01,214862
04/01/01,207647
07/01/01,238476
10/01/01,207312
01/01/02,196933
04/01/02,232702
07/01/02,257768
10/01/02,248971
01/01/03,281494
04/01/03,318697
07/01/03,326455
10/01/03,313731
01/01/04,314314
04/01/04,318690
07/01/04,309332
10/01/04,300115
01/01/05,307253
04/01/05,329662
07/01/05,325768
10/01/05,294171
01/01/06,275647
04/01/06,287578
07/01/06,267298
10/01/06,276755
01/01/07,271496
04/01/07,283958
07/01/07,249992
10/01/07,254652
01/01/08,258549
04/01/08,292831
07/01/08,260992
10/01/08,243180
01/01/09,249339
04/01/09,204298
07/01/09,204727
10/01/09,228531
01/01/10,233836
04/01/10,263958
07/01/10,271636
10/01/10,253366
01/01/11,257312
04/01/11,294686
07/01/11,300702
10/01/11,349309
01/01/12,327280
04/01/12,334619
07/01/12,312702
10/01/12,327527
01/01/13,356640
04/01/13,384059
07/01/13,341109
10/01/13,365174
01/01/14,422641
04/01/14,511297
07/01/14,441164
10/01/14,466782
01/01/15,477428
04/01/15,527139
07/01/15,458814
10/01/15,472263
01/01/16,454088
04/01/16,462244
07/01/16,458487
10/01/16,499086
01/01/17,447957
04/01/17,487942
07/01/17,452601
10/01/17,501295
01/01/18,452444
04/01/18,494628
07/01/18,479143
10/01/18,483133
01/01/19,459645
04/01/19,481656
07/01/19,462741
10/01/19,476914
01/01/20,473494
04/01/20,446567
07/01/20,482525
10/01/20,481836
01/01/21,458106
04/01/21,469181
07/01/21,419006
10/01/21,456825
01/01/22,463837
04/01/22,470971
07/01/22,449137
10/01/22,426189
01/01/23,402031
04/01/23,392010
07/01/23,376696
10/01/23,394839
